from,to,weight,type,direction,latency,throughput,protocol,status,last_checked,error_rate,description,slas
59,6,13,Data Flow,One-way,45,550,HTTP,Active,2024-06-27,0.02%,"Data flow from SYS-059 to SYS-006",99.8% uptime
59,21,34,API Call,Two-way,32,480,TCP/IP,Active,2024-06-27,0.03%,"API communication between SYS-059 and SYS-021",99.7% uptime
33,7,12,Data Flow,One-way,40,600,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-033 to SYS-007",99.9% uptime
26,61,11,API Call,Two-way,38,510,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-026 and SYS-061",99.8% uptime
56,21,32,Data Flow,One-way,42,580,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-056 to SYS-021",99.9% uptime
32,16,11,API Call,Two-way,34,520,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-032 and SYS-016",99.8% uptime
19,20,14,Data Flow,One-way,36,560,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-019 to SYS-020",99.9% uptime
19,41,12,API Call,Two-way,30,500,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-019 and SYS-041",99.8% uptime
19,16,30,Data Flow,One-way,38,510,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-019 to SYS-016",99.9% uptime
19,58,39,API Call,Two-way,35,530,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-019 and SYS-058",99.8% uptime
19,21,37,Data Flow,One-way,40,500,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-019 to SYS-021",99.9% uptime
19,1,12,API Call,Two-way,32,480,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-019 and SYS-001",99.8% uptime
19,66,39,Data Flow,One-way,42,470,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-019 to SYS-066",99.9% uptime
19,55,18,API Call,Two-way,38,490,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-019 and SYS-055",99.8% uptime
19,76,13,Data Flow,One-way,35,520,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-019 to SYS-076",99.9% uptime
19,9,15,API Call,Two-way,30,500,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-019 and SYS-009",99.8% uptime
19,73,104,Data Flow,One-way,45,550,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-019 to SYS-073",99.9% uptime
19,22,20,API Call,Two-way,38,510,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-019 and SYS-022",99.8% uptime
48,41,12,Data Flow,One-way,32,480,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-048 to SYS-041",99.9% uptime
48,16,28,API Call,Two-way,35,530,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-048 and SYS-016",99.8% uptime
48,64,13,Data Flow,One-way,40,500,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-048 to SYS-064",99.9% uptime
48,7,40,API Call,Two-way,42,470,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-048 and SYS-007",99.8% uptime
31,21,41,Data Flow,One-way,38,490,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-031 to SYS-021",99.9% uptime
20,62,18,API Call,Two-way,45,550,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-020 and SYS-062",99.8% uptime
20,16,19,Data Flow,One-way,32,480,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-020 to SYS-016",99.9% uptime
20,51,29,API Call,Two-way,40,500,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-020 and SYS-051",99.8% uptime
20,21,56,Data Flow,One-way,35,520,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-020 to SYS-021",99.9% uptime
20,1,11,API Call,Two-way,38,490,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-020 and SYS-001",99.8% uptime
20,74,65,Data Flow,One-way,42,470,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-020 to SYS-074",99.9% uptime
20,36,12,API Call,Two-way,30,500,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-020 and SYS-036",99.8% uptime
20,46,32,Data Flow,One-way,38,510,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-020 to SYS-046",99.9% uptime
20,9,112,API Call,Two-way,45,550,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-020 and SYS-009",99.8% uptime
20,7,11,Data Flow,One-way,32,480,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-020 to SYS-007",99.9% uptime
20,10,23,API Call,Two-way,40,500,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-020 and SYS-010",99.8% uptime
20,52,31,Data Flow,One-way,35,520,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-020 to SYS-052",99.9% uptime
78,16,11,API Call,Two-way,38,490,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-078 and SYS-016",99.8% uptime
78,50,14,Data Flow,One-way,42,470,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-078 to SYS-050",99.9% uptime
15,52,61,API Call,Two-way,32,480,TCP/IP,Active,2024-06-27,0.03%,"API communication between SYS-015 and SYS-052",99.7% uptime
15,34,11,Data Flow,One-way,35,520,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-015 to SYS-034",99.9% uptime
29,62,16,API Call,Two-way,38,510,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-029 and SYS-062",99.8% uptime
62,41,12,Data Flow,One-way,32,480,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-062 to SYS-041",99.9% uptime
62,16,64,API Call,Two-way,45,550,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-062 and SYS-016",99.8% uptime
62,43,11,Data Flow,One-way,30,500,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-062 to SYS-043",99.9% uptime
62,21,14,API Call,Two-way,36,560,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-062 and SYS-021",99.8% uptime
62,74,14,Data Flow,One-way,38,510,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-062 to SYS-074",99.9% uptime
62,65,33,API Call,Two-way,40,500,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-062 and SYS-065",99.8% uptime
62,50,22,Data Flow,One-way,35,520,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-062 to SYS-050",99.9% uptime
62,9,49,API Call,Two-way,42,470,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-062 and SYS-009",99.8% uptime
62,7,22,Data Flow,One-way,38,490,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-062 to SYS-007",99.9% uptime
62,27,25,API Call,Two-way,45,550,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-062 and SYS-027",99.8% uptime
62,52,49,Data Flow,One-way,32,480,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-062 to SYS-052",99.9% uptime
62,35,13,API Call,Two-way,30,500,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-062 and SYS-035",99.8% uptime
41,16,69,Data Flow,One-way,38,510,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-041 to SYS-016",99.9% uptime
41,39,16,API Call,Two-way,40,500,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-041 and SYS-039",99.8% uptime
41,58,42,Data Flow,One-way,45,550,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-041 to SYS-058",99.9% uptime
41,50,13,API Call,Two-way,32,480,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-041 and SYS-050",99.8% uptime
41,7,72,Data Flow,One-way,38,490,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-041 to SYS-007",99.9% uptime
41,73,29,API Call,Two-way,42,470,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-041 and SYS-073",99.8% uptime
41,52,27,Data Flow,One-way,38,510,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-041 to SYS-052",99.9% uptime
41,75,19,API Call,Two-way,32,480,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-041 and SYS-075",99.8% uptime
61,69,15,Data Flow,One-way,45,550,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-061 to SYS-069",99.9% uptime
61,18,101,API Call,Two-way,32,480,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-061 and SYS-018",99.8% uptime
61,25,12,Data Flow,One-way,35,520,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-061 to SYS-025",99.9% uptime
61,0,24,API Call,Two-way,38,490,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-061 and SYS-000",99.8% uptime
61,63,25,Data Flow,One-way,42,470,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-061 to SYS-063",99.9% uptime
61,28,26,API Call,Two-way,30,500,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-061 and SYS-028",99.8% uptime
61,4,17,Data Flow,One-way,38,510,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-061 to SYS-004",99.9% uptime
61,72,75,API Call,Two-way,45,550,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-061 and SYS-072",99.8% uptime
61,3,31,Data Flow,One-way,32,480,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-061 to SYS-003",99.9% uptime
61,17,18,API Call,Two-way,40,500,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-061 and SYS-017",99.8% uptime
61,7,11,Data Flow,One-way,35,520,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-061 to SYS-007",99.9% uptime
61,2,37,API Call,Two-way,38,490,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-061 and SYS-002",99.8% uptime
69,63,14,Data Flow,One-way,42,470,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-069 to SYS-063",99.9% uptime
69,28,11,API Call,Two-way,32,480,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-069 and SYS-028",99.8% uptime
18,0,16,Data Flow,One-way,38,510,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-018 to SYS-000",99.9% uptime
18,72,16,API Call,Two-way,45,550,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-018 and SYS-072",99.8% uptime
18,3,12,Data Flow,One-way,32,480,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-018 to SYS-003",99.9% uptime
18,37,11,API Call,Two-way,40,500,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-018 and SYS-037",99.8% uptime
18,17,13,Data Flow,One-way,35,520,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-018 to SYS-017",99.9% uptime
18,2,19,API Call,Two-way,38,490,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-018 and SYS-002",99.8% uptime
16,39,27,Data Flow,One-way,42,470,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-016 to SYS-039",99.9% uptime
16,58,26,API Call,Two-way,38,510,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-016 and SYS-058",99.8% uptime
16,43,47,Data Flow,One-way,40,500,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-016 to SYS-043",99.9% uptime
16,21,38,API Call,Two-way,45,550,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-016 and SYS-021",99.8% uptime
16,1,32,Data Flow,One-way,32,480,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-016 to SYS-001",99.9% uptime
16,23,12,API Call,Two-way,38,490,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-016 and SYS-023",99.8% uptime
16,74,16,Data Flow,One-way,40,500,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-016 to SYS-074",99.9% uptime
16,68,19,API Call,Two-way,35,520,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-016 and SYS-068",99.8% uptime
16,65,12,Data Flow,One-way,42,470,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-016 to SYS-065",99.9% uptime
16,66,11,API Call,Two-way,32,480,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-016 and SYS-066",99.8% uptime
16,50,81,Data Flow,One-way,38,510,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-016 to SYS-050",99.9% uptime
16,12,33,API Call,Two-way,40,500,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-016 and SYS-012",99.8% uptime
16,64,33,Data Flow,One-way,45,550,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-016 to SYS-064",99.9% uptime
16,9,16,API Call,Two-way,32,480,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-016 and SYS-009",99.8% uptime
16,7,291,Data Flow,One-way,38,490,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-016 to SYS-007",99.9% uptime
16,73,34,API Call,Two-way,45,550,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-016 and SYS-073",99.8% uptime
16,38,18,Data Flow,One-way,30,500,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-016 to SYS-038",99.9% uptime
16,54,15,API Call,Two-way,35,520,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-016 and SYS-054",99.8% uptime
16,52,21,Data Flow,One-way,42,470,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-016 to SYS-052",99.9% uptime
16,60,18,API Call,Two-way,32,480,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-016 and SYS-060",99.8% uptime
16,75,61,Data Flow,One-way,38,510,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-016 to SYS-075",99.9% uptime
16,14,12,API Call,Two-way,40,500,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-016 and SYS-014",99.8% uptime
24,67,13,Data Flow,One-way,35,520,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-024 to SYS-067",99.9% uptime
24,53,12,API Call,Two-way,38,490,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-024 and SYS-053",99.8% uptime
30,45,11,Data Flow,One-way,42,470,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-030 to SYS-045",99.9% uptime
71,21,31,API Call,Two-way,32,480,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-071 and SYS-021",99.8% uptime
71,11,27,Data Flow,One-way,38,510,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-071 to SYS-011",99.9% uptime
25,17,11,API Call,Two-way,45,550,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-025 and SYS-017",99.8% uptime
5,21,23,Data Flow,One-way,32,480,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-005 to SYS-021",99.9% uptime
13,9,13,API Call,Two-way,38,490,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-013 and SYS-009",99.8% uptime
0,2,14,Data Flow,One-way,40,500,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-000 to SYS-002",99.9% uptime
63,28,14,API Call,Two-way,42,470,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-063 and SYS-028",99.8% uptime
39,58,12,Data Flow,One-way,38,510,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-039 to SYS-058",99.9% uptime
39,7,24,API Call,Two-way,32,480,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-039 and SYS-007",99.8% uptime
39,45,12,Data Flow,One-way,35,520,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-039 to SYS-045",99.9% uptime
39,52,36,API Call,Two-way,40,500,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-039 and SYS-052",99.8% uptime
39,60,16,Data Flow,One-way,38,490,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-039 to SYS-060",99.9% uptime
8,6,11,API Call,Two-way,42,470,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-008 and SYS-006",99.8% uptime
6,21,81,Data Flow,One-way,45,550,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-006 to SYS-021",99.9% uptime
6,52,23,API Call,Two-way,32,480,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-006 and SYS-052",99.8% uptime
44,73,27,Data Flow,One-way,40,500,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-044 to SYS-073",99.9% uptime
58,55,14,API Call,Two-way,38,510,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-058 and SYS-055",99.8% uptime
58,50,11,Data Flow,One-way,42,470,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-058 to SYS-050",99.9% uptime
58,6,24,API Call,Two-way,30,500,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-058 and SYS-006",99.8% uptime
58,8,16,Data Flow,One-way,38,490,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-058 to SYS-008",99.9% uptime
58,11,23,API Call,Two-way,42,470,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-058 and SYS-011",99.8% uptime
58,63,12,Data Flow,One-way,32,480,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-058 to SYS-063",99.9% uptime
58,69,17,API Call,Two-way,38,510,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-058 and SYS-069",99.8% uptime
58,20,14,Data Flow,One-way,45,550,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-058 to SYS-020",99.9% uptime
58,13,24,API Call,Two-way,32,480,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-058 and SYS-013",99.8% uptime
58,52,23,Data Flow,One-way,42,470,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-058 to SYS-052",99.9% uptime
58,4,16,API Call,Two-way,30,500,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-058 and SYS-004",99.8% uptime
58,45,12,Data Flow,One-way,38,490,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-058 to SYS-045",99.9% uptime
58,17,26,API Call,Two-way,42,470,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-058 and SYS-017",99.8% uptime
58,59,24,Data Flow,One-way,32,480,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-058 to SYS-059",99.9% uptime
58,7,13,API Call,Two-way,38,510,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-058 and SYS-007",99.8% uptime
58,3,11,Data Flow,One-way,45,550,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-058 to SYS-003",99.9% uptime
58,27,24,API Call,Two-way,32,480,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-058 and SYS-027",99.8% uptime
58,14,12,Data Flow,One-way,42,470,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-058 to SYS-014",99.9% uptime
58,15,22,API Call,Two-way,30,500,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-058 and SYS-015",99.8% uptime
58,72,26,Data Flow,One-way,38,490,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-058 to SYS-072",99.9% uptime
58,38,13,API Call,Two-way,45,550,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-058 and SYS-038",99.8% uptime
58,1,17,Data Flow,One-way,32,480,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-058 to SYS-001",99.9% uptime
58,10,25,API Call,Two-way,38,510,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-058 and SYS-010",99.8% uptime
50,52,27,Data Flow,One-way,45,550,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-050 to SYS-052",99.9% uptime
50,22,12,API Call,Two-way,32,480,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-050 and SYS-022",99.8% uptime
50,49,11,Data Flow,One-way,38,510,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-050 to SYS-049",99.9% uptime
50,36,27,API Call,Two-way,42,470,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-050 and SYS-036",99.8% uptime
50,58,14,Data Flow,One-way,32,480,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-050 to SYS-058",99.9% uptime
50,40,23,API Call,Two-way,38,510,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-050 and SYS-040",99.8% uptime
50,19,12,Data Flow,One-way,45,550,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-050 to SYS-019",99.9% uptime
50,4,14,API Call,Two-way,32,480,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-050 and SYS-004",99.8% uptime
9,23,17,Data Flow,One-way,38,510,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-009 to SYS-023",99.9% uptime
9,49,19,API Call,Two-way,42,470,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-009 and SYS-049",99.8% uptime
7,22,14,Data Flow,One-way,32,480,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-007 to SYS-022",99.9% uptime
7,42,22,API Call,Two-way,38,510,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-007 and SYS-042",99.8% uptime
27,25,21,Data Flow,One-way,45,550,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-027 to SYS-025",99.9% uptime
27,34,14,API Call,Two-way,32,480,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-027 and SYS-034",99.8% uptime
52,14,24,Data Flow,One-way,38,510,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-052 to SYS-014",99.9% uptime
52,37,13,API Call,Two-way,45,550,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-052 and SYS-037",99.8% uptime
52,36,21,Data Flow,One-way,32,480,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-052 to SYS-036",99.9% uptime
52,60,14,API Call,Two-way,38,510,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-052 and SYS-060",99.8% uptime
52,13,12,Data Flow,One-way,45,550,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-052 to SYS-013",99.9% uptime
52,5,22,API Call,Two-way,32,480,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-052 and SYS-005",99.8% uptime
52,38,19,Data Flow,One-way,38,510,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-052 to SYS-038",99.9% uptime
52,54,24,API Call,Two-way,45,550,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-052 and SYS-054",99.8% uptime
52,17,16,Data Flow,One-way,32,480,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-052 to SYS-017",99.9% uptime
52,64,21,API Call,Two-way,38,510,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-052 and SYS-064",99.8% uptime
52,6,12,Data Flow,One-way,45,550,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-052 to SYS-006",99.9% uptime
52,46,14,API Call,Two-way,32,480,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-052 and SYS-046",99.8% uptime
52,45,19,Data Flow,One-way,38,510,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-052 to SYS-045",99.9% uptime
52,62,16,API Call,Two-way,45,550,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-052 and SYS-062",99.8% uptime
52,25,13,Data Flow,One-way,32,480,HTTP,Active,2024-06-27,0.01%,"Data flow from SYS-052 to SYS-025",99.9% uptime
52,22,21,API Call,Two-way,38,510,TCP/IP,Active,2024-06-27,0.02%,"API communication between SYS-052 and SYS-022",99.8% uptime
